Algorithm;TreeLength;Problem;testR2;trainingR2;time;Evaluations;Generations;Fold;Rows;Columns;ModelLength;ModelDepth;Threshold
OSGAstd;10;1096_FacultySalaries.tsv;0,969587781947558;0,945467656762294;00:15:06.7800000;226866;19;0;50;5;14;9;-1
OSGAstd;10;1096_FacultySalaries.tsv;0,899939197554534;0,932449443095251;00:15:06.7800000;205566;19;1;50;5;14;9;-1
OSGAstd;10;1096_FacultySalaries.tsv;0,91267252382151;0,953015082362087;00:15:06.7800000;203066;16;2;50;5;14;8;-1
OSGAstd;10;1096_FacultySalaries.tsv;0,975251590873915;0,952500771827258;00:15:06.7800000;225366;19;3;50;5;14;9;-1
OSGAstd;10;1096_FacultySalaries.tsv;0,995407013260771;0,949703151525724;00:15:06.7800000;202166;20;4;50;5;14;8;-1
OSGAstd;10;1096_FacultySalaries.tsv;0,922170741035872;0,933131338801966;00:15:06.7800000;246366;16;5;50;5;14;8;-1
OSGAstd;10;1096_FacultySalaries.tsv;0,835480461514334;0,942456881696761;00:15:06.7800000;217766;15;6;50;5;14;9;-1
OSGAstd;10;1096_FacultySalaries.tsv;0,978461184077464;0,933685429003402;00:15:06.7800000;206166;19;7;50;5;14;8;-1
OSGAstd;10;1096_FacultySalaries.tsv;0,995844609710123;0,932144783310039;00:15:06.7800000;218266;18;8;50;5;14;8;-1
OSGAstd;10;1096_FacultySalaries.tsv;0,298452827607821;0,981526294427294;00:15:06.7800000;227266;11;9;50;5;14;9;-1
OSGAstd;10;1089_USCrime.tsv;0,788908363567167;0,885984292955333;00:16:08.6100000;230166;16;0;47;14;10;7;-1
OSGAstd;10;1089_USCrime.tsv;0,790963443222938;0,89254264732685;00:16:08.6100000;233666;21;1;47;14;10;6;-1
OSGAstd;10;1089_USCrime.tsv;0,910003109798922;0,882990287194395;00:16:08.6100000;212466;18;2;47;14;12;8;-1
OSGAstd;10;1089_USCrime.tsv;0,75291868314946;0,89026978501481;00:16:08.6100000;209566;18;3;47;14;13;8;-1
OSGAstd;10;1089_USCrime.tsv;0,990439304205877;0,880974847839144;00:16:08.6100000;239966;18;4;47;14;14;8;-1
OSGAstd;10;1089_USCrime.tsv;0,978285883847041;0,893460316994244;00:16:08.6100000;285366;15;5;47;14;14;8;-1
OSGAstd;10;1089_USCrime.tsv;0,401739305895252;0,911752227545165;00:16:08.6100000;239766;16;6;47;14;14;8;-1
OSGAstd;10;1089_USCrime.tsv;0,918707486300964;0,886683806819456;00:16:08.6100000;228766;15;7;47;14;14;8;-1
OSGAstd;10;1089_USCrime.tsv;0,0622520021108072;0,913252134121325;00:16:08.6100000;249566;20;8;47;14;14;8;-1
OSGAstd;10;1089_USCrime.tsv;0,903022352096845;0,897472767187509;00:16:08.6100000;204366;19;9;47;14;14;8;-1
OSGAstd;10;1029_LEV.tsv;0,481876793099855;0,575303182333854;00:57:19.9590000;239166;10;0;1000;5;13;8;-1
OSGAstd;10;1029_LEV.tsv;0,46273633269616;0,57791939744461;00:57:19.9590000;202966;13;1;1000;5;14;8;-1
OSGAstd;10;1029_LEV.tsv;0,655804234320891;0,557003150794673;00:57:19.9590000;368666;10;2;1000;5;13;7;-1
OSGAstd;10;1029_LEV.tsv;0,659225570296592;0,557143135999695;00:57:19.9590000;272466;11;3;1000;5;14;8;-1
OSGAstd;10;1029_LEV.tsv;0,461454390568872;0,577722655030157;00:57:19.9590000;222266;14;4;1000;5;14;8;-1
OSGAstd;10;1029_LEV.tsv;0,45636674174862;0,580548073894957;00:57:19.9590000;270466;10;5;1000;5;13;8;-1
OSGAstd;10;1029_LEV.tsv;0,653942372594152;0,556857889871656;00:57:19.9590000;294366;10;6;1000;5;13;7;-1
OSGAstd;10;1029_LEV.tsv;0,645696444681798;0,556308375488458;00:57:19.9590000;218466;10;7;1000;5;13;7;-1
OSGAstd;10;1029_LEV.tsv;0,565863668818919;0,566633789544884;00:57:19.9590000;208866;9;8;1000;5;13;8;-1
OSGAstd;10;1029_LEV.tsv;0,609013227893843;0,562564583154374;00:57:19.9590000;264066;12;9;1000;5;13;8;-1
OSGAstd;10;1027_ESL.tsv;0,902851088434623;0,866354878605359;00:33:26.5200000;232266;12;0;488;5;14;9;-1
OSGAstd;10;1027_ESL.tsv;0,910439012883081;0,86491103194808;00:33:26.5200000;223766;12;1;488;5;14;9;-1
